Comment,Designator,Footprint,JLCPCB Part #
25MHz Crystal,XTAL1,SMD2016-4P,C19711739
32.768kHz Crystal,XTAL2,SMD3215-2P,C156244
Tactile Switch,"S1, S2",SMD 6x6mm 3.5mm,C5183855
8A Trip Fuse,G1,2920,C720182
30V 10A PMOSFET,Q1,SOIC-8,C3000
600mA Step-Down Regulator,U1,SOT-23-6,C3193129
300mA LDO Regulator,U2,SOT-23-5,C2862740
STM32F411CEU6 MCU,U3,UFQFPN-48(7x7),C60420
Brushed DC Motor Driver,"U4, U5",SOPowerPAD(DDA)-8,C5218850
BNO055 IMU,U6,LGA-28(3.8x5.2),C93216
10kΩ,"R1, R4, R7, R10, R12",0805,C84376
118kΩ,R2,0805,C103948
22.1kΩ,R3,0805,C204311
2.2kΩ,"R5, R6",0603,C114662
"100mΩ, 0.5W","R8, R9",1206,C346763
3.6kΩ,R11,0603,C137729
"560Ω, 0.5W",R13,1210,C3000758
"270Ω, .125W",R14,0805,C485675
"2.2uF, 25V, X7R",C1,0805,C19110
".1uF, 16V, X7R",C2,0603,C66501
"22uF, 10V, X7R",C3,1206,C909845
"1uF, 10V, X7R","C4, C5, C17",0805,C1712
"2pF, 10V, X8R","C6, C7, C18, C19",0402,C161316
"100nF, 10V, X7R","C8, C10-14, C16, C24",0402,C1525
"4.7uF, 10V, X7R",C9,1206,C1872
"120nF, 10V, X7R",C15,0603,C107063
"100nF, 25V, X7R","C20, C21",0603,C1590
"330uF, 25V, AEC-Q200","C22, C23","SMD,D6.3xL7.7mm",C2980171
15uH,L1,1616,C3911667
20mA 2.1V Green,D1,0805,C5875740
5mA 2.0V Red,D2,0805,C5349939
