Designator,Mid X,Mid Y,Layer,Rotation
C1,49.53,3.23,Top,0
C10,44.1,24.26,Top,180
C11,43.69,26.54,Top,180
C12,47.65,20.07,Top,270
C13,51.16,31.37,Top,90
C14,57.02,26.92,Top,0
C15,20.71,27.94,Top,180
C16,23.62,26.92,Top,270
C17,27.56,28.93,Top,270
C18,17.78,34.29,Top,0
C19,20.32,34.29,Top,180
C2,43.79,2.92,Top,90
C20,79.25,7.87,Top,0
C21,8.06,8.76,Top,180
C22,72.58,6.35,Top,180
C23,13.97,12.7,Top,0
C24,69.85,29.21,Top,0
C3,58.42,6.35,Top,90
C4,60.96,6.35,Top,90
C5,65.15,2.54,Top,270
C6,42.55,19.69,Top,270
C7,39.04,19.69,Top,90
C8,34.54,20.43,Top,270
C9,58.29,24.38,Top,0
D1,41.91,2.54,Top,90
D2,63.5,25.13,Top,0
G1,37.07,7.62,Top,0
L1,54.61,6.35,Top,0
Q1,45.72,7.62,Top,180
R1,46.74,11.43,Top,0
R10,54.61,20.06,Top,270
R11,57.28,20.19,Top,270
R12,66.04,19.05,Top,180
R13,37.77,2.35,Top,180
R14,63.5,27.94,Top,180
R2,56.69,2.45,Top,90
R3,52.07,2.45,Top,270
R4,33.02,25.4,Top,90
R5,39.37,30.48,Top,270
R6,36.83,30.48,Top,270
R7,25.82,26.29,Top,270
R8,77.44,17.25,Top,180
R9,13.08,1.92,Top,0
S1,29.32,20.32,Top,180
S2,69.85,24.41,Top,270
U1,46.1,2.92,Top,90
U2,62.23,2.54,Top,0
U3,49.99,25.4,Top,45
U4,75.65,12.43,Top,0
U5,12.54,5.84,Top,180
U6,24.41,30.48,Top,90
XTAL1,40.77,19.69,Top,180
XTAL2,19.05,31.75,Top,180
